t-SNE-1,t-SNE-2
-38.1294 ,1.5265
34.2945 ,33.4106
41.0740 ,21.6112
14.3384 ,12.2982
30.0945 ,-39.6228
33.3226 ,-29.9658
39.9516 ,16.0325
8.7156 ,-0.1973
-0.2768 ,-42.6818
-42.8120 ,-29.7230
-30.7988 ,-19.7783
48.5719 ,-24.7452
-13.2012 ,44.8416
13.2957 ,-33.0277
-48.3192 ,-12.4471
3.3136 ,-42.1519
-18.4694 ,-42.7758
-49.6720 ,21.9649
6.2064 ,49.7232
-2.8265 ,-27.8594
40.7220 ,-43.0511
-8.4508 ,34.1019
27.8980 ,-16.9294
46.1964 ,-6.7113
13.3568 ,-39.9482
-30.4980 ,43.6534
-41.2892 ,-36.9022
-3.0881 ,-41.9301
-11.3134 ,16.9407
-0.3563 ,-2.9778
-2.8290 ,28.3458
25.3356 ,-48.1188
-26.9548 ,-13.0404
26.4741 ,29.3827
34.8232 ,41.6917
-15.4789 ,24.6022
23.3104 ,-26.4862
21.2207 ,2.7512
25.7679 ,-49.7696
-25.8800 ,40.2355
46.8100 ,-32.7581
-39.3974 ,-49.4886
-5.0429 ,37.4841
-43.3169 ,0.2837
36.4555 ,-4.4797
11.4138 ,11.6272
14.1013 ,17.6101
35.0891 ,17.6815
1.9991 ,-40.2411
47.4969 ,-21.2577
-9.2100 ,-15.8240
33.1059 ,-31.6917
48.1829 ,16.2133
36.8032 ,26.9985
34.5477 ,1.7367
48.7816 ,28.9762
14.0579 ,-23.3122
31.7986 ,34.5442
-23.5008 ,-18.1764
9.8594 ,-7.7230
-22.6291 ,5.7345
-1.7813 ,46.2892
46.8433 ,-33.0090
-31.9500 ,2.5105
-33.1233 ,-5.3886
4.9284 ,-25.2876
-49.7571 ,31.0601
-5.8425 ,-2.5676
-15.7799 ,24.4076
8.0318 ,24.3503
25.1707 ,-49.6621
19.5457 ,-47.7657
-33.0227 ,9.0952
3.3765 ,11.5051
41.5780 ,-11.9579
-29.1943 ,23.6142
-13.1247 ,-31.3942
34.0366 ,-40.7400
-13.9994 ,-46.2521
42.6060 ,24.2793
32.5917 ,47.2413
40.4349 ,36.0940
-46.1024 ,45.2005
31.4856 ,-1.1500
-31.3885 ,-41.0650
48.4087 ,29.8555
11.5744 ,49.3012
-12.3476 ,-43.9755
10.0381 ,17.5534
-27.9220 ,16.2052
-32.7718 ,36.8432
5.1718 ,-19.2980
25.1615 ,-49.9294
26.1937 ,32.2258
23.1171 ,-21.0940
12.8129 ,34.3554
6.9762 ,-10.2706
41.2951 ,18.0863
37.7485 ,28.9771
-30.5454 ,27.7565
-46.6319 ,-49.7382
-34.2539 ,16.8197
-10.4717 ,23.0773
-14.2873 ,-43.5708
-38.2973 ,1.0195
40.6362 ,20.9214
-20.3113 ,6.2704
-33.4968 ,32.2412
-22.9769 ,26.9169
4.0879 ,-34.8746
-42.6125 ,-24.9383
-19.0155 ,33.7502
6.6558 ,36.4166
21.4943 ,11.4580
-3.6796 ,26.8570
-11.9641 ,23.0874
22.6414 ,-13.0305
25.6721 ,-39.7891
6.4787 ,14.5704
-20.6908 ,24.2746
8.3294 ,29.9435
-10.8962 ,-38.2099
36.9084 ,47.5234
31.2833 ,-11.8759
-41.3346 ,45.4025
-10.7576 ,38.3417
21.0822 ,1.7693
28.9357 ,-3.7818
-35.8720 ,-1.3374
-39.6562 ,-27.9229
-12.5054 ,-42.8421
-17.6976 ,-13.6255
-3.5323 ,-24.0859
7.5447 ,-8.0156
-49.8236 ,-1.9147
-35.1751 ,25.6105
11.7808 ,1.9180
49.6724 ,-7.6612
-29.4443 ,-6.7734
-34.3053 ,-29.9296
43.1379 ,31.0982
25.8288 ,33.0758
-22.3797 ,16.7789
3.5876 ,-29.0199
44.4567 ,34.4292
40.5808 ,46.7104
-32.6559 ,-30.8685
-39.6808 ,5.6269
-45.8509 ,14.2622
-40.5227 ,-33.9632
-6.4390 ,6.0230
20.5139 ,14.1504
-49.9390 ,45.9599
-40.5479 ,16.0313
19.1552 ,25.3274
15.4005 ,21.8612
48.2792 ,-33.7429
0.9709 ,-46.0018
-28.0004 ,-8.9468
-44.2902 ,-49.3558
4.8106 ,46.0120
-2.1985 ,-32.1581
-17.7209 ,10.2238
-42.2903 ,-18.2794
-21.1126 ,-18.4434
-12.9785 ,-32.3533
35.9466 ,4.3628
33.6614 ,10.4086
12.5154 ,-39.8503
18.6317 ,-8.9986
-44.1617 ,-25.9495
-45.5827 ,8.3085
20.8899 ,29.3899
7.2005 ,-13.9779
47.7305 ,-29.7789
37.9487 ,-15.8629
42.0700 ,26.5488
49.2722 ,28.6641
26.9203 ,19.3207
-17.9845 ,-21.8527
19.5364 ,19.9442
11.0007 ,22.2354
20.1501 ,-37.1958
4.2681 ,-18.6471
-22.7040 ,-49.0093
-8.6735 ,3.4785
21.6447 ,-48.0690
8.0069 ,8.4293
48.7629 ,-7.0578
46.7482 ,21.3642
-5.5291 ,34.8501
-39.1705 ,21.9022
-34.0096 ,46.7646
-2.9488 ,3.6560
7.5937 ,16.3786
-10.5496 ,-36.3589
25.2860 ,34.4503
30.4673 ,-17.6779
-32.9383 ,33.9144
32.1735 ,28.7871
